brand,value_rate_avg,five_year_rate,ten_year_rate,five_counts,ten_counts,counts
观致,0.5505,,,0,0,250
英致,0.5371,,,0,0,156
广汽,0.4111,0.4143,,26,0,158
宝沃,0.6956,,,0,0,313
斯巴鲁,0.4734,0.5116,0.2512,224,31,1264
福田,0.613,0.3712,,3,0,536
成功,0.3175,,,0,0,9
华普,0.1688,,0.1956,0,2,12
菲亚特,0.4319,0.4111,0.2093,24,2,1149
宝马,0.5077,0.4618,0.2472,3157,191,16144
兰博基尼,0.5254,0.5611,0.3548,1,2,17
凯翼,0.5876,,,0,0,229
雷诺,0.4831,0.4184,,118,0,972
比速,0.6961,,,0,0,140
荣威,0.482,0.3695,0.1859,597,47,4537
宾利,0.5008,0.4689,0.1851,7,1,70
东南,0.5106,0.4157,0.2633,88,40,2068
MG,0.4849,0.3799,0.1612,414,7,2578
别克,0.4753,0.4315,0.2265,4313,368,21009
江铃,0.5652,0.5134,,255,0,863
知豆,0.1889,,,0,0,79
奔腾,0.4627,0.4493,,1051,0,3260
启辰,0.5742,0.4842,,359,0,1317
标致,0.4342,0.4041,0.1823,1756,31,7707
丰田,0.5989,0.5841,0.3194,2470,235,16960
欧宝,0.3205,0.4277,0.2158,34,4,136
长城,0.4358,0.4436,0.2618,674,34,3418
林肯,0.6674,,,0,0,503
MINI,0.5218,0.4798,0.2417,67,8,1337
雪铁龙,0.4136,0.4116,0.1906,1098,67,5739
Smart,0.5249,0.4279,,82,0,911
日产,0.5301,0.5785,0.3096,1444,653,14162
起亚,0.4884,0.5091,0.2974,1459,88,10942
DS,0.5042,0.4518,,49,0,512
夏利,0.2851,0.3841,0.1714,106,45,738
悍马,0.393,,0.4016,0,13,14
北汽,0.524,0.3862,0.4248,275,1,4938
上汽大通,0.7066,0.9579,,5,0,568
现代,0.4815,0.4551,0.2509,3268,248,17775
纳智捷,0.4351,0.353,,412,0,2659
Jeep,0.5555,0.5039,0.3419,408,22,3896
金杯,0.5511,0.4776,0.2954,125,8,1122
一汽,0.4227,0.3772,0.1833,72,27,1183
长安,0.5274,0.4554,0.173,725,25,12817
五菱,0.5042,0.4943,0.2201,1125,156,8300
红旗,0.5391,0.3992,,16,0,165
道奇,0.4336,0.4522,0.2196,317,2,728
川汽野马,0.5767,,,0,0,302
斯柯达,0.4667,0.4477,0.2825,631,56,4763
宝骏,0.6395,0.4159,,191,0,4485
陆风,0.5472,0.4096,0.5526,172,2,1832
沃尔沃,0.4489,0.3916,0.1509,277,1,2338
特斯拉,0.7523,,,0,0,193
劳斯莱斯,0.6584,0.7524,,5,0,15
江淮,0.4977,0.438,0.2636,671,54,5201
凯迪拉克,0.5034,0.4128,0.3101,415,7,3583
中兴,0.514,0.5545,,15,0,123
依维柯,0.6287,0.6074,,16,0,192
保时捷,0.6213,0.5352,0.2604,160,2,1965
法拉利,0.6363,0.6358,,4,0,21
力帆,0.4388,0.3818,0.1034,46,1,1195
哈弗,0.5699,0.4556,,1096,0,12355
捷豹,0.4786,0.363,0.1867,180,4,1196
玛莎拉蒂,0.6003,0.4775,0.2747,76,10,387
雪佛兰,0.4428,0.4129,0.1774,3566,48,14257
昌河,0.487,,,0,0,370
雷克萨斯,0.5843,0.5512,0.1873,373,2,1565
华颂,0.4926,,,0,0,35
三菱,0.5122,0.5265,0.3315,891,26,2127
奥迪,0.5107,0.4794,0.2157,2642,69,13098
北京,0.5609,0.4081,,215,0,1110
华泰,0.3964,0.37,0.1856,86,4,455
海格,0.5885,0.7772,,3,0,12
开瑞,0.4233,0.3358,,63,0,499
东风,0.5111,0.4217,0.1378,992,2,8902
本田,0.5964,0.5652,0.3378,2013,504,16099
海马,0.4607,0.3972,0.2161,508,15,3360
吉利,0.5367,0.3922,0.2034,975,11,9833
大众,0.5328,0.5052,0.3162,8255,801,44231
路虎,0.513,0.4241,,703,0,4694
奇瑞,0.4313,0.4138,0.1509,769,41,6977
马自达,0.5335,0.5147,0.2867,835,215,6122
奔驰,0.5456,0.498,0.2316,1709,201,13906
WEY,0.8049,,,0,0,391
传祺,0.5723,0.4032,,331,0,4355
大发,0.1582,,0.1637,0,8,9
铃木,0.4707,0.5072,0.2523,946,77,4056
哈飞,0.2505,0.384,0.1958,8,36,158
猎豹,0.6043,0.5476,0.2219,89,3,1357
比亚迪,0.4655,0.4423,0.1769,1285,61,10051
英菲尼迪,0.5256,0.4512,0.1917,329,3,1275
中华,0.4338,0.4349,0.1991,191,46,1677
众泰,0.5644,0.4126,0.2122,99,21,4543
福特,0.5069,0.5152,0.2809,6869,59,21227
